work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,employee_residence_iso,company_location_iso
2022-01-01,Senior-level,Full Time,Data Analyst,135000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,100000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,90320,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Analyst,85000,Canada,<20% Remote,Canada,Medium,CAN,CAN
2022-01-01,Mid-level,Full Time,Data Analyst,75000,Canada,<20% Remote,Canada,Medium,CAN,CAN
2022-01-01,Senior-level,Full Time,Machine Learning,214000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Machine Learning,192600,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Architect,266400,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Architect,213120,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,112900,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,155000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Scientist,141300,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Scientist,102100,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,115934,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,81666,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Engineer,206699,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Engineer,99100,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,130000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,115000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,110500,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,130000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,99050,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,160000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,205300,United States,<20% Remote,United States,Large,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,140400,United States,<20% Remote,United States,Large,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,176000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,144000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,200100,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,160000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,145000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,70500,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,205300,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,140400,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,analytics engineer,205300,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,analytics engineer,184700,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,175100,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,140250,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,116150,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,54000,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,170000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Analyst,65438,United Kingdom,<20% Remote,United Kingdom,Medium,GBR,GBR
2022-01-01,Senior-level,Full Time,Data Analyst,80000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,140000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,210000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,140000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,100000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,69000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,210000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,140000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,210000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,150075,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,100000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,25000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,126500,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,106260,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,220110,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,160080,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,105000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,110925,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Analyst,45807,United Kingdom,<20% Remote,United Kingdom,Medium,GBR,GBR
2022-01-01,Senior-level,Full Time,Data Scientist,140000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,99000,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,60000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Architect,192564,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Architect,144854,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,230000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,150000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,150260,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,109280,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,210000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,170000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Scientist,160000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Scientist,130000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Entry-level,Full Time,Data Analyst,67000,Canada,<20% Remote,Canada,Medium,CAN,CAN
2022-01-01,Entry-level,Full Time,Data Analyst,52000,Canada,<20% Remote,Canada,Medium,CAN,CAN
2022-01-01,Senior-level,Full Time,Data Engineer,154000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,126000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,129000,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,150000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Machine Learning,200000,India,>80% Remote,United States,Large,IND,USA
